Month,Sales
1/1/2016,210.2
2/1/2016,230.5
3/1/2016,225.1
4/1/2016,230.1
5/1/2016,225.9
6/1/2016,247.7
7/1/2016,302.6
8/1/2016,307.4
9/1/2016,373.5
10/1/2016,379.4
11/1/2016,380.3
12/1/2016,399.8
1/1/2017,280.5
2/1/2017,245.9
3/1/2017,230.3
4/1/2017,240.9
5/1/2017,239.5
6/1/2017,270.5
7/1/2017,310.7
8/1/2017,310.4
9/1/2017,386.9
10/1/2017,398.1
11/1/2017,401.4
12/1/2017,405.2
1/1/2018,289.5
2/1/2018,134.8
3/1/2018,150.4
4/1/2018,170.4
5/1/2018,125.6
6/1/2018,180.4
7/1/2018,190.4
8/1/2018,240.3
9/1/2018,259.7
10/1/2018,280.5
11/1/2018,382.7
12/1/2018,410.8
1/1/2019,294.3
2/1/2019,149.5
3/1/2019,140.1
4/1/2019,133.3
5/1/2019,191.4
6/1/2019,207
7/1/2019,236
8/1/2019,303.6
9/1/2019,329.9
10/1/2019,341.6
11/1/2019,334.5
12/1/2019,424.5
1/1/2020,320.1
2/1/2020,285.4
3/1/2020,240.7
4/1/2020,236.9
5/1/2020,236.3
6/1/2020,265.4
7/1/2020,307.8
8/1/2020,304.7
9/1/2020,380.2
10/1/2020,394.5
11/1/2020,420.2
12/1/2020,467
1/1/2021,316.3
2/1/2021,294.1
3/1/2021,232.2
4/1/2021,235.1
5/1/2021,229.9
6/1/2021,250.8
7/1/2021,312.4
8/1/2021,308.1
9/1/2021,384.7
10/1/2021,400.3
11/1/2021,421.9
12/1/2021,482.4
1/1/2022,340.4
2/1/2022,299
3/1/2022,248.4
4/1/2022,252.1
5/1/2022,247.3
6/1/2022,284.2
7/1/2022,325.5
8/1/2022,318.1
9/1/2022,401.9
10/1/2022,410.7
11/1/2022,435.6
12/1/2022,490.2
1/1/2023,367.6
2/1/2023,299
3/1/2023,275.8
4/1/2023,273
5/1/2023,267.2
6/1/2023,369.4
7/1/2023,335.8
8/1/2023,334
9/1/2023,426.1
10/1/2023,430.3
11/1/2023,439.6
12/1/2023,501.4
1/1/2024,308.7
2/1/2024,305.2
3/1/2024,294.4
4/1/2024,291.5
5/1/2024,277.5
6/1/2024,490.2
7/1/2024,357.9
8/1/2024,360.7
9/1/2024,461.7
10/1/2024,476.2
11/1/2024,472.8
12/1/2024,518.3
1/1/2025,420.3
2/1/2025,306.3
3/1/2025,313.2
4/1/2025,310.9
5/1/2025,290.3
6/1/2025,399.7
7/1/2025,371.1
8/1/2025,372.7
9/1/2025,479.2
10/1/2025,481.5
11/1/2025,485.8
12/1/2025,529.6
