Date,OpenPrice,HighPrice,LowPrice,ClosePrice
1/2/2024,4745.2,4754.33,4722.67,4742.83
1/3/2024,4725.07,4729.29,4699.71,4704.81
1/4/2024,4697.42,4726.78,4687.53,4688.68
1/5/2024,4690.57,4721.49,4682.11,4697.24
1/8/2024,4703.7,4764.54,4699.82,4763.54
1/9/2024,4741.93,4765.47,4730.35,4756.5
1/10/2024,4759.94,4790.8,4756.2,4783.45
1/11/2024,4792.13,4798.5,4739.58,4780.24
1/12/2024,4791.18,4802.4,4768.98,4783.83
1/16/2024,4772.35,4782.34,4747.12,4765.98
1/17/2024,4739.13,4744.23,4714.82,4739.21
1/18/2024,4760.1,4785.79,4740.57,4780.94
1/19/2024,4796.28,4842.07,4785.87,4839.81
1/22/2024,4853.42,4868.41,4844.05,4850.43
1/23/2024,4856.8,4866.48,4844.37,4864.6
1/24/2024,4888.56,4903.68,4865.94,4868.55
1/25/2024,4886.66,4898.15,4869.34,4894.16
1/26/2024,4888.91,4906.69,4881.47,4890.97
1/29/2024,4892.95,4929.31,4887.4,4927.93
1/30/2024,4925.89,4931.09,4916.27,4924.97
1/31/2024,4899.19,4906.75,4845.15,4845.65
2/1/2024,4861.11,4906.97,4853.52,4906.19
2/2/2024,4916.06,4975.29,4907.99,4958.61
2/5/2024,4957.19,4957.19,4918.09,4942.81
2/6/2024,4950.16,4957.77,4934.88,4954.23
2/7/2024,4973.05,4999.89,4969.05,4995.06
2/8/2024,4995.16,5000.4,4987.09,4997.91
2/9/2024,5004.17,5030.06,5000.34,5026.61
2/12/2024,5026.83,5048.39,5016.83,5021.84
2/13/2024,4967.94,4971.3,4920.31,4953.17
2/14/2024,4976.44,5002.52,4956.45,5000.62
2/15/2024,5003.14,5032.72,4999.44,5029.73
2/16/2024,5031.13,5038.7,4999.52,5005.57
2/20/2024,4989.32,4993.71,4955.02,4975.51
2/21/2024,4963.03,4983.21,4946,4981.8
2/22/2024,5038.83,5094.39,5038.83,5087.03
2/23/2024,5100.92,5111.06,5081.46,5088.8
2/26/2024,5093,5097.66,5068.91,5069.53
2/27/2024,5074.6,5080.69,5057.29,5078.18
2/28/2024,5067.2,5077.37,5058.35,5069.76
2/29/2024,5085.36,5104.99,5061.89,5096.27
