Month,Ridership
1/1/1991,1708.917
2/1/1991,1620.586
3/1/1991,1972.715
4/1/1991,1811.665
5/1/1991,1974.964
6/1/1991,1862.356
7/1/1991,1939.86
8/1/1991,2013.264
9/1/1991,1595.657
10/1/1991,1724.924
11/1/1991,1675.667
12/1/1991,1813.863
1/1/1992,1614.827
2/1/1992,1557.088
3/1/1992,1891.223
4/1/1992,1955.981
5/1/1992,1884.714
6/1/1992,1623.042
7/1/1992,1903.309
8/1/1992,1996.712
9/1/1992,1703.897
10/1/1992,1810
11/1/1992,1861.601
12/1/1992,1875.122
1/1/1993,1705.259
2/1/1993,1618.535
3/1/1993,1836.709
4/1/1993,1957.043
5/1/1993,1917.185
6/1/1993,1882.398
7/1/1993,1933.009
8/1/1993,1996.167
9/1/1993,1672.841
10/1/1993,1752.827
11/1/1993,1720.377
12/1/1993,1734.292
1/1/1994,1563.365
2/1/1994,1573.959
3/1/1994,1902.639
4/1/1994,1833.888
5/1/1994,1831.049
6/1/1994,1775.755
7/1/1994,1867.508
8/1/1994,1906.608
9/1/1994,1685.632
10/1/1994,1778.546
11/1/1994,1775.995
12/1/1994,1783.35
1/1/1995,1548.415
2/1/1995,1496.925
3/1/1995,1798.316
4/1/1995,1732.895
5/1/1995,1772.345
6/1/1995,1761.207
7/1/1995,1791.655
8/1/1995,1874.82
9/1/1995,1571.309
10/1/1995,1646.948
11/1/1995,1672.631
12/1/1995,1656.845
1/1/1996,1381.758
2/1/1996,1360.852
3/1/1996,1558.575
4/1/1996,1608.42
5/1/1996,1696.696
6/1/1996,1693.183
7/1/1996,1835.516
8/1/1996,1942.573
9/1/1996,1551.401
10/1/1996,1686.508
11/1/1996,1576.204
12/1/1996,1700.433
1/1/1997,1396.588
2/1/1997,1371.69
3/1/1997,1707.522
4/1/1997,1654.604
5/1/1997,1762.903
6/1/1997,1775.8
7/1/1997,1934.219
8/1/1997,2008.055
9/1/1997,1615.924
10/1/1997,1773.91
11/1/1997,1732.368
12/1/1997,1796.626
1/1/1998,1570.33
2/1/1998,1412.691
3/1/1998,1754.641
4/1/1998,1824.932
5/1/1998,1843.289
6/1/1998,1825.964
7/1/1998,1968.172
8/1/1998,1921.645
9/1/1998,1669.597
10/1/1998,1791.474
11/1/1998,1816.714
12/1/1998,1846.754
1/1/1999,1599.427
2/1/1999,1548.804
3/1/1999,1832.333
4/1/1999,1839.72
5/1/1999,1846.498
6/1/1999,1864.852
7/1/1999,1965.743
8/1/1999,1949.002
9/1/1999,1607.373
10/1/1999,1803.664
11/1/1999,1850.309
12/1/1999,1836.435
1/1/2000,1541.66
2/1/2000,1616.928
3/1/2000,1919.538
4/1/2000,1971.493
5/1/2000,1992.301
6/1/2000,2009.763
7/1/2000,2053.996
8/1/2000,2097.471
9/1/2000,1823.706
10/1/2000,1976.997
11/1/2000,1981.408
12/1/2000,2000.153
1/1/2001,1683.148
2/1/2001,1663.404
3/1/2001,2007.928
4/1/2001,2023.792
5/1/2001,2047.008
6/1/2001,2072.913
7/1/2001,2126.717
8/1/2001,2202.638
9/1/2001,1707.693
10/1/2001,1950.716
11/1/2001,1973.614
12/1/2001,1984.729
1/1/2002,1759.629
2/1/2002,1770.595
3/1/2002,2019.912
4/1/2002,2048.398
5/1/2002,2068.763
6/1/2002,1994.267
7/1/2002,2075.258
8/1/2002,2026.56
9/1/2002,1734.155
10/1/2002,1916.771
11/1/2002,1858.345
12/1/2002,1996.352
1/1/2003,1778.033
2/1/2003,1749.489
3/1/2003,2066.466
4/1/2003,2098.899
5/1/2003,2104.911
6/1/2003,2129.671
7/1/2003,2223.349
8/1/2003,2174.36
9/1/2003,1931.406
10/1/2003,2121.47
11/1/2003,2076.054
12/1/2003,2140.677
1/1/2004,1831.508
2/1/2004,1838.006
3/1/2004,2132.446
4/1/2004,2109.144
5/1/2004,2196.549
6/1/2004,2185.162
7/1/2004,2246.389
8/1/2004,2176.306
9/1/2004,1918.759
10/1/2004,2114.084
11/1/2004,2157.279
12/1/2004,2228.712
1/1/2005,1839.593
2/1/2005,1793.393
3/1/2005,2257.739
4/1/2005,2115.206
5/1/2005,2170.325
6/1/2005,2185.873
7/1/2005,2241.162
8/1/2005,2193.906
9/1/2005,2077.231
10/1/2005,2120.981
11/1/2005,2076.685
12/1/2005,2004.402
1/1/2006,1718.844
2/1/2006,1689.593
3/1/2006,2033.85
4/1/2006,2071.622
5/1/2006,2115.474
6/1/2006,2191.444
7/1/2006,2219.01
8/1/2006,2211.471
9/1/2006,1938.601
10/1/2006,2135.602
11/1/2006,2154.199
12/1/2006,2068.565
1/1/2007,1797.382
2/1/2007,1778.662
3/1/2007,2174.315
4/1/2007,2207.139
5/1/2007,2295.604
6/1/2007,2291.449
7/1/2007,2414.051
8/1/2007,2429.47
9/1/2007,2101.002
10/1/2007,2336.37
11/1/2007,2413.851
12/1/2007,2311.615
1/1/2008,2005.038
2/1/2008,2029.448
3/1/2008,2423.532
4/1/2008,2320.13
5/1/2008,2577.189
6/1/2008,2560.067
7/1/2008,2750.278
8/1/2008,2683.564
9/1/2008,2305.321
10/1/2008,2439.526
11/1/2008,2325.788
12/1/2008,2284.62
1/1/2009,1978.503
2/1/2009,1849.331
3/1/2009,2180.182
4/1/2009,2266.655
5/1/2009,2325.658
6/1/2009,2347.829
7/1/2009,2519.869
8/1/2009,2485.223
9/1/2009,2163.752
10/1/2009,2377.71
11/1/2009,2389.841
12/1/2009,2394.671
1/1/2010,2032.586
2/1/2010,1951.41
3/1/2010,2473.551
4/1/2010,2445.765
5/1/2010,2490.611
6/1/2010,2566.473
7/1/2010,2766.812
8/1/2010,2541.159
9/1/2010,2286.215
10/1/2010,2541.17
11/1/2010,2541.087
12/1/2010,2504.249
1/1/2011,2126.429
2/1/2011,2099.01
3/1/2011,2610.567
4/1/2011,2688.955
5/1/2011,2691.371
6/1/2011,2812.202
7/1/2011,2890.763
8/1/2011,2719.462
9/1/2011,2521.11
10/1/2011,2389.179
11/1/2011,2631.29
12/1/2011,2515.467
1/1/2012,2224.002
2/1/2012,2231.641
3/1/2012,2763.361
4/1/2012,2763.894
5/1/2012,2735.455
6/1/2012,2757.916
7/1/2012,2777.117
8/1/2012,2769.229
9/1/2012,2487.441
10/1/2012,2596.272
11/1/2012,2559.615
12/1/2012,2604.566
1/1/2013,2298.047
2/1/2013,2217.348
3/1/2013,2816.139
4/1/2013,2659.243
5/1/2013,2803.527
6/1/2013,2804.717
7/1/2013,2908.19
8/1/2013,2851.979
9/1/2013,2440.153
10/1/2013,2625.82
11/1/2013,2550.704
12/1/2013,2711.851
1/1/2014,2206.788
2/1/2014,2092.819
3/1/2014,2575.951
4/1/2014,2592.994
5/1/2014,2700.179
6/1/2014,2695.954
7/1/2014,2844.949
8/1/2014,2802.873
9/1/2014,2519.583
10/1/2014,2702.607
11/1/2014,2667.575
12/1/2014,2656.185
1/1/2015,2193.845
2/1/2015,2166.654
3/1/2015,2676.17
4/1/2015,2621.089
5/1/2015,2487.546
6/1/2015,2683.762
7/1/2015,2861.747
8/1/2015,2692.783
9/1/2015,2472.007
10/1/2015,2636.686
11/1/2015,2648.743
12/1/2015,2582.766
1/1/2016,2181.704
2/1/2016,2215.885
3/1/2016,2725.86
4/1/2016,2539.714
5/1/2016,2728.331
6/1/2016,2757.113
7/1/2016,2923.18
8/1/2016,2755.079
9/1/2016,2579.658
10/1/2016,2616.2
11/1/2016,2713.345
12/1/2016,2672.573
1/1/2017,2329.527
2/1/2017,2151.453
3/1/2017,2656.439
4/1/2017,2762.365
5/1/2017,2775.471
6/1/2017,2823.569
7/1/2017,2876.066
8/1/2017,2819.838
9/1/2017,2541.622
10/1/2017,2785.149
11/1/2017,2804.107
12/1/2017,2680.541
1/1/2018,2307.547
2/1/2018,2157.913
3/1/2018,2561.693
4/1/2018,2595.061
5/1/2018,2744.626
6/1/2018,2787.363
7/1/2018,2920.412
8/1/2018,2848.935
9/1/2018,2522.367
10/1/2018,2807.2
11/1/2018,2873.968
12/1/2018,2668.049
